Timestamp_023	Field_023	Sorb_023	Pot1k_023	PotHe3_023	Probe_Cx_023	TDO1_023	TDO2_023
0.177	17.99988	4.1336	0	0.2732	0.7232	10580196.93	5334831.341
0.587	17.99999	4.1336	0	0.2732	0.7232	10580205.81	5334715.923
1.012	18.00005	4.1336	0	0.2732	0.7232	10580222.68	5334777.768
1.309	17.99994	4.1336	0	0.2732	0.7232	10580166.41	5334782.443
1.725	18.0001	4.1336	0	0.2732	0.7232	10580159.59	5334811.629
2.175	17.99999	4.1336	0	0.2732	0.7232	10580196.78	5334699.174
2.648	18.00005	4.1336	0	0.2732	0.7232	10580180.49	5334654.142
3.096	17.99999	4.1336	0	0.2732	0.7232	10580165.14	5334642.509
3.518	18.00005	4.1336	0	0.2732	0.7232	10580180.18	5334751.252
3.79	17.99999	4.1336	0	0.2732	0.7232	10580146.15	5334646.246
4.428	17.99988	4.1337	0	0.2732	0.7232	10580196.56	5334706.946
4.7	18.00005	4.1337	0	0.2732	0.7232	10580012.79	5334687.946
5.114	17.99994	4.1336	0	0.2732	0.7232	10580174.49	5334711.007
5.569	17.99999	4.1336	0	0.2732	0.7232	10580184.36	5334681.446
5.84	17.99999	4.1336	0	0.2732	0.7232	10580193.51	5334645.731
6.481	17.99934	4.1336	0	0.2732	0.7232	10580178.2	5334566.445
6.937	17.99748	4.1336	0	0.2732	0.7232	10580253.01	5334464.298
7.392	17.99486	4.1336	0	0.2732	0.7232	10580574.37	5334551.268
7.847	17.99257	4.1337	0	0.2733	0.7232	10580891.29	5334445.23
8.304	17.98995	4.1337	0	0.2734	0.7232	10581364.86	5334234.527
8.986	17.98596	4.1337	0	0.2736	0.7232	10581708.52	5334138.497
9.442	17.98323	4.1336	0	0.2737	0.7232	10582081.19	5334057.664
9.898	17.98094	4.1336	0	0.2738	0.7232	10582508.16	5333889.352
10.354	17.97848	4.1336	0	0.2739	0.7231	10582932.58	5333432.829
10.81	17.97576	4.1336	0	0.274	0.7231	10583447.59	5333264.354
11.333	17.97292	4.1336	0	0.2741	0.7231	10583836.22	5332993.414
11.949	17.97024	4.1337	0	0.2742	0.7231	10584201.61	5332727.312
12.405	17.96806	4.1337	0	0.2742	0.723	10584572.47	5332306.208
12.861	17.96609	4.1337	0	0.2743	0.723	10585096.75	5332148.388
13.365	17.96271	4.1336	0	0.2743	0.723	10585369.46	5331788.274
14	17.96031	4.1336	0	0.2743	0.723	10585756.29	5331633.091
14.455	17.95791	4.1336	0	0.2744	0.7229	10586205.49	5331160.419
15.137	17.95469	4.1336	0	0.2744	0.7229	10586374.86	5330861.479
15.594	17.95234	4.1337	0	0.2744	0.7229	10586883.63	5330634.502
16.048	17.95032	4.1337	0	0.2744	0.7229	10587201.55	5330446.262
16.504	17.94743	4.1337	0	0.2745	0.7229	10587712.75	5330168.573
16.96	17.94519	4.1337	0	0.2745	0.7228	10588004	5329822.835
17.415	17.94322	4.1337	0	0.2745	0.7228	10588337.02	5329484.908
17.872	17.94077	4.1337	0	0.2745	0.7228	10588666.16	5329419.071
18.328	17.93853	4.1336	0	0.2746	0.7228	10588980.76	5329068.013
18.783	17.93645	4.1336	0	0.2746	0.7228	10589307.09	5328865.969
19.238	17.93405	4.1337	0	0.2746	0.7228	10589865.64	5328549.679
19.749	17.93094	4.1337	0	0.2746	0.7227	10590196.21	5328172.872
20.377	17.92849	4.1337	0	0.2746	0.7227	10590559.63	5327870.994
20.832	17.92603	4.1337	0	0.2747	0.7227	10591042.36	5327584.94
21.516	17.92308	4.1336	0	0.2747	0.7227	10591348.22	5327270.827
21.971	17.92024	4.1336	0	0.2747	0.7227	10591857.83	5326718.709
22.653	17.91713	4.1336	0	0.2747	0.7226	10592198.95	5326787.31
22.941	17.91484	4.1337	0	0.2747	0.7226	10592494.04	5326342.838
23.564	17.91266	4.1337	0	0.2748	0.7226	10592920.86	5326110.321
24.02	17.90998	4.1337	0	0.2748	0.7226	10593251.57	5325811.077
24.476	17.90791	4.1337	0	0.2748	0.7226	10593522.47	5325382.855
24.932	17.90545	4.1336	0	0.2748	0.7226	10593911.74	5325125.611
25.616	17.90196	4.1336	0	0.2749	0.7225	10594400.37	5324832.28
26.072	17.89961	4.1336	0	0.2749	0.7225	10594673.95	5324503.244
26.529	17.89775	4.1336	0	0.2749	0.7225	10594989.37	5324149.632
26.985	17.89541	4.1336	0	0.2749	0.7225	10595570.13	5324129.498
27.498	17.89202	4.1337	0	0.2749	0.7225	10595946.88	5323601.04
28.123	17.88978	4.1337	0	0.275	0.7225	10596223.19	5323491.302
28.579	17.88716	4.1337	0	0.275	0.7224	10596561.9	5323032.406
29.034	17.88509	4.1336	0	0.275	0.7224	10596916.34	5322788.912
30.906	17.8751	4.1337	0	0.2751	0.7224	10598441.14	5321574.617
31.54	17.87275	4.1337	0	0.2751	0.7224	10598758.98	5321437.34
31.995	17.87003	4.1336	0	0.2751	0.7223	10599231.49	5321145.343
32.52	17.86708	4.1336	0	0.2751	0.7223	10599596.85	5320905.57
32.966	17.86484	4.1336	0	0.2751	0.7223	10599916.86	5320449.894
33.589	17.86266	4.1336	0	0.2752	0.7223	10600231.62	5320127.809
34.099	17.85905	4.1336	0	0.2752	0.7223	9767640.75	5319777.602
34.728	17.8566	4.1337	0	0.2752	0.7223	9602232.37	5319582.717
35.184	17.85387	4.1337	0	0.2752	0.7222	11596867.41	5319276.557
35.641	17.85207	4.1337	0	0.2752	0.7222	11597570.12	5318949.584
36.096	17.84994	4.1337	0	0.2752	0.7222	12432684.84	5318694.441
36.55	17.84732	4.1337	0	0.2753	0.7222	10602665.83	5318350.192
